ids,labels,parents
NCAA,NCAA,
WCC-NCAA,WCC,NCAA
ACC-NCAA,ACC,NCAA
B12-NCAA,B12,NCAA
BE-NCAA,BE,NCAA
SEC-NCAA,SEC,NCAA
P12-NCAA,P12,NCAA
A10-NCAA,A10,NCAA
AE-NCAA,AE,NCAA
Amer-NCAA,Amer,NCAA
ASun-NCAA,ASun,NCAA
B10-NCAA,B10,NCAA
BSky-NCAA,BSky,NCAA
BSth-NCAA,BSth,NCAA
BW-NCAA,BW,NCAA
CAA-NCAA,CAA,NCAA
CUSA-NCAA,CUSA,NCAA
Horz-NCAA,Horz,NCAA
Ivy-NCAA,Ivy,NCAA
MAAC-NCAA,MAAC,NCAA
MAC-NCAA,MAC,NCAA
MEAC-NCAA,MEAC,NCAA
MVC-NCAA,MVC,NCAA
MWC-NCAA,MWC,NCAA
NEC-NCAA,NEC,NCAA
OVC-NCAA,OVC,NCAA
Pat-NCAA,Pat,NCAA
SB-NCAA,SB,NCAA
SC-NCAA,SC,NCAA
Slnd-NCAA,Slnd,NCAA
Sum-NCAA,Sum,NCAA
SWAC-NCAA,SWAC,NCAA
WAC-NCAA,WAC,NCAA
WCC-NCAA-Gonzaga,Gonzaga,WCC-NCAA
ACC-NCAA-North Carolina,North Carolina,ACC-NCAA
B12-NCAA-Kansas,Kansas,B12-NCAA
BE-NCAA-Xavier,Xavier,BE-NCAA
SEC-NCAA-Florida,Florida,SEC-NCAA
SEC-NCAA-Kentucky,Kentucky,SEC-NCAA
P12-NCAA-Oregon,Oregon,P12-NCAA
SEC-NCAA-South Carolina,South Carolina,SEC-NCAA
A10-NCAA-Davidson,Davidson,A10-NCAA
A10-NCAA-Duquesne,Duquesne,A10-NCAA
A10-NCAA-Fordham,Fordham,A10-NCAA
A10-NCAA-George Mason,George Mason,A10-NCAA
A10-NCAA-George Washington,George Washington,A10-NCAA
A10-NCAA-La Salle,La Salle,A10-NCAA
A10-NCAA-Massachusetts,Massachusetts,A10-NCAA
A10-NCAA-Richmond,Richmond,A10-NCAA
A10-NCAA-Saint Joseph's,Saint Joseph's,A10-NCAA
A10-NCAA-Saint Louis,Saint Louis,A10-NCAA
A10-NCAA-St. Bonaventure,St. Bonaventure,A10-NCAA
ACC-NCAA-Boston College,Boston College,ACC-NCAA
ACC-NCAA-Clemson,Clemson,ACC-NCAA
ACC-NCAA-Georgia Tech,Georgia Tech,ACC-NCAA
ACC-NCAA-North Carolina St.,North Carolina St.,ACC-NCAA
ACC-NCAA-Pittsburgh,Pittsburgh,ACC-NCAA
ACC-NCAA-Syracuse,Syracuse,ACC-NCAA
AE-NCAA-Albany,Albany,AE-NCAA
AE-NCAA-Binghamton,Binghamton,AE-NCAA
AE-NCAA-Hartford,Hartford,AE-NCAA
AE-NCAA-Maine,Maine,AE-NCAA
AE-NCAA-New Hampshire,New Hampshire,AE-NCAA
AE-NCAA-Stony Brook,Stony Brook,AE-NCAA
AE-NCAA-UMass Lowell,UMass Lowell,AE-NCAA
AE-NCAA-UMBC,UMBC,AE-NCAA
Amer-NCAA-Connecticut,Connecticut,Amer-NCAA
Amer-NCAA-East Carolina,East Carolina,Amer-NCAA
Amer-NCAA-Houston,Houston,Amer-NCAA
Amer-NCAA-Memphis,Memphis,Amer-NCAA
Amer-NCAA-South Florida,South Florida,Amer-NCAA
Amer-NCAA-Temple,Temple,Amer-NCAA
Amer-NCAA-Tulane,Tulane,Amer-NCAA
Amer-NCAA-Tulsa,Tulsa,Amer-NCAA
Amer-NCAA-UCF,UCF,Amer-NCAA
ASun-NCAA-Jacksonville,Jacksonville,ASun-NCAA
ASun-NCAA-Kennesaw St.,Kennesaw St.,ASun-NCAA
ASun-NCAA-Lipscomb,Lipscomb,ASun-NCAA
ASun-NCAA-NJIT,NJIT,ASun-NCAA
ASun-NCAA-North Florida,North Florida,ASun-NCAA
ASun-NCAA-Stetson,Stetson,ASun-NCAA
ASun-NCAA-USC Upstate,USC Upstate,ASun-NCAA
B10-NCAA-Illinois,Illinois,B10-NCAA
B10-NCAA-Indiana,Indiana,B10-NCAA
B10-NCAA-Iowa,Iowa,B10-NCAA
B10-NCAA-Nebraska,Nebraska,B10-NCAA
B10-NCAA-Ohio St.,Ohio St.,B10-NCAA
B10-NCAA-Penn St.,Penn St.,B10-NCAA
B10-NCAA-Rutgers,Rutgers,B10-NCAA
B12-NCAA-Oklahoma,Oklahoma,B12-NCAA
B12-NCAA-TCU,TCU,B12-NCAA
B12-NCAA-Texas,Texas,B12-NCAA
B12-NCAA-Texas Tech,Texas Tech,B12-NCAA
BE-NCAA-DePaul,DePaul,BE-NCAA
BE-NCAA-Georgetown,Georgetown,BE-NCAA
BE-NCAA-St. John's,St. John's,BE-NCAA
BSky-NCAA-Eastern Washington,Eastern Washington,BSky-NCAA
BSky-NCAA-Idaho,Idaho,BSky-NCAA
BSky-NCAA-Idaho St.,Idaho St.,BSky-NCAA
BSky-NCAA-Montana,Montana,BSky-NCAA
BSky-NCAA-Montana St.,Montana St.,BSky-NCAA
BSky-NCAA-Northern Arizona,Northern Arizona,BSky-NCAA
BSky-NCAA-Northern Colorado,Northern Colorado,BSky-NCAA
BSky-NCAA-Portland St.,Portland St.,BSky-NCAA
BSky-NCAA-Sacramento St.,Sacramento St.,BSky-NCAA
BSky-NCAA-Southern Utah,Southern Utah,BSky-NCAA
BSky-NCAA-Weber St.,Weber St.,BSky-NCAA
BSth-NCAA-Campbell,Campbell,BSth-NCAA
BSth-NCAA-Charleston Southern,Charleston Southern,BSth-NCAA
BSth-NCAA-Gardner Webb,Gardner Webb,BSth-NCAA
BSth-NCAA-High Point,High Point,BSth-NCAA
BSth-NCAA-Liberty,Liberty,BSth-NCAA
BSth-NCAA-Longwood,Longwood,BSth-NCAA
BSth-NCAA-Presbyterian,Presbyterian,BSth-NCAA
BSth-NCAA-Radford,Radford,BSth-NCAA
BSth-NCAA-UNC Asheville,UNC Asheville,BSth-NCAA
BW-NCAA-Cal Poly,Cal Poly,BW-NCAA
BW-NCAA-Cal St. Fullerton,Cal St. Fullerton,BW-NCAA
BW-NCAA-Cal St. Northridge,Cal St. Northridge,BW-NCAA
BW-NCAA-Hawaii,Hawaii,BW-NCAA
BW-NCAA-Long Beach St.,Long Beach St.,BW-NCAA
BW-NCAA-UC Irvine,UC Irvine,BW-NCAA
BW-NCAA-UC Riverside,UC Riverside,BW-NCAA
BW-NCAA-UC Santa Barbara,UC Santa Barbara,BW-NCAA
CAA-NCAA-College of Charleston,College of Charleston,CAA-NCAA
CAA-NCAA-Delaware,Delaware,CAA-NCAA
CAA-NCAA-Drexel,Drexel,CAA-NCAA
CAA-NCAA-Elon,Elon,CAA-NCAA
CAA-NCAA-Hofstra,Hofstra,CAA-NCAA
CAA-NCAA-James Madison,James Madison,CAA-NCAA
CAA-NCAA-Northeastern,Northeastern,CAA-NCAA
CAA-NCAA-Towson,Towson,CAA-NCAA
CAA-NCAA-William & Mary,William & Mary,CAA-NCAA
CUSA-NCAA-Charlotte,Charlotte,CUSA-NCAA
CUSA-NCAA-FIU,FIU,CUSA-NCAA
CUSA-NCAA-Florida Atlantic,Florida Atlantic,CUSA-NCAA
CUSA-NCAA-Louisiana Tech,Louisiana Tech,CUSA-NCAA
CUSA-NCAA-Marshall,Marshall,CUSA-NCAA
CUSA-NCAA-North Texas,North Texas,CUSA-NCAA
CUSA-NCAA-Old Dominion,Old Dominion,CUSA-NCAA
CUSA-NCAA-Rice,Rice,CUSA-NCAA
CUSA-NCAA-Southern Miss,Southern Miss,CUSA-NCAA
CUSA-NCAA-UAB,UAB,CUSA-NCAA
CUSA-NCAA-UTEP,UTEP,CUSA-NCAA
CUSA-NCAA-UTSA,UTSA,CUSA-NCAA
CUSA-NCAA-Western Kentucky,Western Kentucky,CUSA-NCAA
Horz-NCAA-Cleveland St.,Cleveland St.,Horz-NCAA
Horz-NCAA-Detroit,Detroit,Horz-NCAA
Horz-NCAA-Green Bay,Green Bay,Horz-NCAA
Horz-NCAA-Illinois Chicago,Illinois Chicago,Horz-NCAA
Horz-NCAA-Milwaukee,Milwaukee,Horz-NCAA
Horz-NCAA-Oakland,Oakland,Horz-NCAA
Horz-NCAA-Valparaiso,Valparaiso,Horz-NCAA
Horz-NCAA-Wright St.,Wright St.,Horz-NCAA
Horz-NCAA-Youngstown St.,Youngstown St.,Horz-NCAA
Ivy-NCAA-Brown,Brown,Ivy-NCAA
Ivy-NCAA-Columbia,Columbia,Ivy-NCAA
Ivy-NCAA-Cornell,Cornell,Ivy-NCAA
Ivy-NCAA-Dartmouth,Dartmouth,Ivy-NCAA
Ivy-NCAA-Harvard,Harvard,Ivy-NCAA
Ivy-NCAA-Penn,Penn,Ivy-NCAA
Ivy-NCAA-Yale,Yale,Ivy-NCAA
MAAC-NCAA-Canisius,Canisius,MAAC-NCAA
MAAC-NCAA-Fairfield,Fairfield,MAAC-NCAA
MAAC-NCAA-Manhattan,Manhattan,MAAC-NCAA
MAAC-NCAA-Marist,Marist,MAAC-NCAA
MAAC-NCAA-Monmouth,Monmouth,MAAC-NCAA
MAAC-NCAA-Niagara,Niagara,MAAC-NCAA
MAAC-NCAA-Quinnipiac,Quinnipiac,MAAC-NCAA
MAAC-NCAA-Rider,Rider,MAAC-NCAA
